0.5
cate		recovnum	total	recovery	right
Auto		996		1122	99.600000	98.750744
Busi		961		1269	96.100000	96.894535
Cric		984		1048	98.400000	99.353796
Ente		961		1146	96.100000	98.111281
Heal		941		1138	94.100000	97.949412
Life		956		1061	95.600000	98.913606
Nati		936		1533	93.600000	94.004218
Poli		979		1147	97.900000	98.312914
Spor		972		1151	97.200000	98.191737
Tech		959		1055	95.900000	99.008879
Worl		922		1477	92.200000	94.322251
Other		388
