0.7
cate		recovery	total	recovery	right
Auto		995		1100	99.500000	98.955743
Busi		948		1192	94.800000	97.490745
Cric		981		1036	98.100000	99.442473
Ente		943		1077	94.300000	98.598913
Heal		914		1068	91.400000	98.343017
Life		932		1005	93.200000	99.222826
Nati		916		1374	91.600000	95.238095
Poli		966		1085	96.600000	98.783107
Spor		961		1104	96.100000	98.533784
Tech		950		1024	95.000000	99.227073
Worl		898		1330	89.800000	95.410115
Other	538
